id,status_group
13774,non functional
5024,functional
7705,functional
5065,functional needs repair
6023,non functional
6394,functional
11323,non functional
4913,functional needs repair
10744,non functional
9696,non functional
9879,functional
14700,non functional
31,functional
7974,non functional
1163,functional
367,functional
4350,functional
6259,functional
9825,functional
8557,non functional
14265,non functional
6397,functional
10841,functional
8975,non functional
10294,functional
9050,functional
2711,functional
7253,non functional
9391,functional
14156,non functional
11639,functional
7714,functional
12616,non functional
8989,functional
4637,non functional
2310,functional
5001,non functional
4469,non functional
9932,functional
1952,non functional
9101,non functional
2638,functional
1429,functional
11681,functional
7207,non functional
11656,functional
12900,non functional
250,functional
11530,functional
1404,functional
13767,functional
12797,non functional
8122,non functional
11249,non functional
701,functional
12141,functional
9616,non functional
8338,functional needs repair
1704,functional
2056,functional
7524,functional
9647,non functional
10654,functional
11090,functional
13143,functional
12933,non functional
4970,functional
5638,functional
1370,functional
13621,functional
3008,functional
12501,functional
137,functional
13978,functional
10057,functional
1830,functional
8167,functional
13926,functional
2427,functional
2822,functional
6215,functional
12216,non functional
3009,functional
6622,functional
7057,functional
6519,non functional
14796,functional
13698,functional
4383,functional
2453,functional needs repair
520,non functional
8604,functional
903,functional
10210,functional
8669,non functional
12054,functional
1590,functional
13755,functional
8202,functional
7349,functional
7366,functional
10479,functional
8797,functional
4668,functional
10718,functional
1805,functional
7586,non functional
3921,functional
1587,functional needs repair
7193,functional
3452,non functional
2286,functional
3016,non functional
448,functional
4387,non functional
5402,non functional
14793,functional
10740,functional
10965,functional
13353,functional
13999,non functional
8467,non functional
10721,functional
212,functional
3732,functional
7734,non functional
268,functional
8059,non functional
12732,functional
5924,non functional
4662,non functional
2030,non functional
12779,functional
9822,non functional
502,non functional
14006,non functional
2521,functional
5769,functional
3585,functional
12370,non functional
7310,functional
1029,non functional
12247,functional
5837,non functional
4461,functional
9276,non functional
1376,functional
1133,non functional
6856,non functional
1666,functional
11381,functional
10770,functional
4969,functional
6435,non functional
2950,functional
10737,non functional
3638,non functional
3169,functional
331,functional
1789,non functional
14668,functional
7486,functional
2533,non functional
8021,functional
11688,functional
1063,functional
9039,non functional
2969,functional
830,functional
2321,functional
13980,functional
12081,functional
3012,functional
14028,non functional
11811,non functional
5207,functional
7153,non functional
4073,non functional
108,functional
1261,non functional
13882,functional
9523,functional
12885,non functional
9213,functional
8360,functional
14148,functional
4736,non functional
396,functional
6900,functional
7388,non functional
5803,functional
7731,functional
10818,non functional
2794,functional
9567,non functional
2246,non functional
8356,non functional
5093,non functional
11445,functional
5766,non functional
2522,functional
4966,non functional
5427,functional
4160,non functional
1766,non functional
6657,non functional
5768,functional
3859,functional
8354,functional
14513,non functional
783,functional
14771,functional
2054,functional
4330,non functional
3943,functional
4015,functional
2094,functional
5244,non functional
3521,functional
12208,functional
13392,non functional
4344,functional
14702,non functional
8793,functional
4683,functional
13115,non functional
2466,functional
5819,functional
702,functional
730,functional
11455,non functional
8253,non functional
14626,functional
2375,non functional
8146,non functional
14367,functional
7225,functional
14490,functional
13788,functional
10066,functional needs repair
14571,non functional
3987,functional
13053,functional
685,functional
6738,functional
1073,functional
5319,functional
11011,functional
8304,functional
9087,non functional
7158,functional
4707,non functional
7382,non functional
7164,functional
11951,functional
3081,functional
13833,non functional
13717,functional
5552,functional needs repair
9862,functional
8034,non functional
3189,functional
13885,functional
13257,functional
11866,functional
14072,functional
9176,functional
12963,functional
13511,functional
7307,functional
4826,non functional
9428,functional
847,functional needs repair
10630,functional needs repair
13673,non functional
7629,functional
8102,functional
7397,functional
4154,functional
10215,functional
12590,non functional
3721,functional
2998,functional
12561,functional
1546,functional
13478,non functional
10602,functional
11006,non functional
6566,functional
2114,functional
9530,functional
5721,functional needs repair
14414,non functional
1071,functional
11602,non functional
1906,functional
10056,functional
13894,functional
227,functional
9640,non functional
10890,functional
12736,functional
12503,functional
4384,non functional
9658,functional
3288,non functional
11755,functional
11574,non functional
1309,functional
9419,functional
14261,non functional
14763,functional
12982,non functional
3683,functional
4535,functional
8600,functional
6564,functional
10391,functional
12112,functional
7711,functional
10790,functional
14032,non functional
8351,functional
7540,non functional
10007,non functional
11946,functional
4275,non functional
5262,functional needs repair
12118,functional
5139,non functional
11438,functional
5458,functional
10882,functional
14461,functional
8493,functional needs repair
11832,functional
7475,non functional
8519,functional
4814,functional
9860,non functional
8662,functional
7002,non functional
11313,non functional
14240,functional
13208,functional
11624,non functional
2446,functional
7777,non functional
10765,functional
1080,functional
4334,functional needs repair
12029,non functional
5032,functional
5172,functional
3538,non functional
5657,functional
10121,functional
14147,functional
10468,functional
1110,functional
12084,non functional
9832,non functional
4067,functional
9238,functional
9651,functional
4074,functional
8324,functional
1198,functional
861,functional
2002,functional
11803,functional
13162,functional
4251,non functional
3864,functional
4322,functional needs repair
9335,functional
13685,functional
6534,non functional
2499,non functional
12652,functional
4091,non functional
14749,non functional
6906,functional
14030,non functional
4008,non functional
7742,functional
5735,non functional
4496,non functional
10401,functional
5451,non functional
2388,non functional
11421,non functional
6747,functional
2012,non functional
13584,functional needs repair
9035,functional
3281,functional
14637,functional
3493,non functional
10959,non functional
2630,non functional
7536,functional
975,non functional
9350,functional
10741,non functional
12531,functional
2922,functional
12405,non functional
8512,non functional
6327,functional
4983,functional
6755,functional
5157,functional
5961,functional
12609,functional
3621,functional
13807,functional
12234,non functional
5590,functional
4642,functional
675,functional
11069,functional
6829,non functional
5272,non functional
1708,functional
7674,non functional
3803,non functional
2939,non functional
4219,functional
323,functional
12552,functional
11623,functional
4122,functional
8756,functional
2617,non functional
10801,functional
9890,non functional
4117,functional
9281,non functional
4890,functional
10063,functional
6238,non functional
12676,non functional
5037,functional
12033,functional
6937,functional
12324,functional
3682,functional
2691,non functional
4348,non functional
5744,functional needs repair
3793,functional
4315,functional
9466,functional
14093,non functional
12398,non functional
2044,functional
5050,non functional
6429,functional
6051,non functional
2028,non functional
1310,non functional
9332,non functional
325,functional
431,non functional
11767,functional
11231,functional
3379,functional
11901,non functional
13031,functional
12359,non functional
12160,functional
9556,non functional
8266,non functional
12808,non functional
1443,functional
10775,functional
91,non functional
4990,functional
4575,non functional
9826,non functional
14053,non functional
5753,functional
10933,non functional
10845,functional
6351,non functional
219,functional
5701,functional
13130,functional
8130,non functional
8128,functional
9305,functional
8086,functional needs repair
1374,functional
7092,non functional
13862,functional
12606,functional
6748,non functional
4019,functional
13249,functional
11305,non functional
11476,functional
13567,non functional
4943,non functional
8228,functional
2294,functional
10237,functional
5870,functional
626,functional
12787,functional
13728,functional
4760,functional needs repair
11669,non functional
2872,functional
7127,non functional
8911,non functional
12515,functional
14548,functional
13484,functional
8742,functional
5102,functional
12016,functional
10382,functional
9109,functional
7690,non functional
4835,non functional
13310,functional
1802,functional
1002,non functional
14108,non functional
8393,functional
8510,functional
13730,functional
6050,functional
13025,functional
345,functional
4446,non functional
7276,functional
9065,functional
939,non functional
2493,functional
6728,functional
12623,non functional
1009,functional
6994,functional
5197,functional
7036,functional
9477,functional
9791,functional
12455,functional
7541,non functional
2947,functional
4615,functional
13067,non functional
14506,functional
3787,functional
5264,functional
2170,functional
2826,non functional
9635,functional
1104,functional
11466,functional
9918,functional
11905,non functional
6958,functional
7624,functional
3161,non functional
10921,functional
3992,functional
2227,functional
11031,non functional
5339,functional
13420,functional
4758,non functional
4831,functional
11994,functional needs repair
7660,functional
304,functional
10356,functional
9115,non functional
7564,functional
3206,functional
9963,functional
11780,functional
2365,functional
12557,non functional
11634,functional
9372,non functional
4164,functional
9358,functional
8871,functional
350,functional
9762,non functional
3396,non functional
5906,functional
6596,non functional
10599,functional
3423,non functional
10272,functional
1295,non functional
10668,functional
5629,functional
4494,functional
415,functional
11324,non functional
2109,functional
8082,non functional
471,functional
5929,non functional
1643,non functional
412,functional
6725,non functional
3555,functional
7090,functional
9294,functional
7596,functional
12196,functional
8177,functional
12604,functional
5143,functional
12099,non functional
5678,non functional
11303,functional
3276,functional
8668,non functional
1721,non functional
1748,functional
8148,non functional
8429,functional
5226,non functional
1518,non functional
3986,functional
6503,functional
5813,functional
6239,non functional
5398,functional
13886,functional
8739,functional
12971,non functional
8694,functional
11363,functional
9205,non functional
1525,non functional
6248,functional
11947,functional
5429,functional
5375,functional
3717,functional
5510,non functional
11001,functional
3536,non functional
14237,non functional
6528,functional
13646,non functional
8303,non functional
9728,functional
10983,functional
8924,functional
11210,non functional
12200,functional
4382,functional
12504,non functional
10437,functional
9381,functional
9431,functional
11180,non functional
3926,functional
9688,functional
3017,functional
14789,functional
12608,functional
1698,functional
14333,functional
4504,functional
11371,non functional
2580,functional
7592,non functional
12009,non functional
1441,non functional
11676,functional
12342,functional
10995,non functional
8982,functional
9171,non functional
11269,functional
3967,functional
9479,non functional
4434,functional
6977,functional
12025,functional
12740,functional
14315,functional needs repair
5397,functional
8455,functional
213,non functional
10183,non functional
529,non functional
13670,functional
11212,functional
4061,non functional
10055,non functional
13703,functional
4520,functional
10229,functional
4749,functional
5215,functional
14762,functional
1699,non functional
301,non functional
5202,functional
5573,functional
11043,non functional
13132,functional
5903,non functional
4812,functional
6542,functional
7807,functional
10635,functional
7163,functional
3541,non functional
5098,non functional
7473,functional
9472,functional
8044,functional
1964,non functional
6797,non functional
7640,functional
4708,non functional
2570,functional
9931,functional
10064,functional
10083,functional
11417,non functional
11836,functional
11057,functional
9506,functional
6339,functional
12780,functional
12816,functional
14375,functional
10157,functional
13654,functional
11670,functional
9245,non functional
775,non functional
292,functional
1132,non functional
7172,non functional
14383,functional
12700,non functional
12230,functional
13970,functional
7758,non functional
6769,functional
3798,functional
4552,non functional
2709,functional
960,functional
6246,functional
6244,functional
4368,non functional
1923,non functional
11018,functional
7608,functional
9185,functional
3357,functional
3556,functional
8543,non functional
12714,functional
10539,functional
9922,functional
11601,non functional
14253,non functional
10267,functional
6312,functional
1550,non functional
10096,functional
1819,functional
2253,functional
8347,non functional
10365,functional
9443,non functional
3502,non functional
10440,functional
6700,functional
5000,non functional
6839,functional
1177,non functional
4701,functional
10757,non functional
9349,non functional
6880,functional
13246,functional
577,functional
6173,functional
8121,non functional
5353,functional
3372,functional
9217,non functional
9652,non functional
10341,functional
14612,functional
10292,non functional
6536,functional
1909,functional
2288,functional
11816,functional
11020,functional
13105,functional
11029,non functional
10253,functional
14109,functional
7098,non functional
9313,non functional
5548,functional
1725,functional
703,functional
2885,functional
4541,non functional
9212,non functional
4416,functional
10955,functional
10519,functional
11083,functional
11924,functional
7206,functional
9733,functional
14291,non functional
12285,functional
9240,functional
12696,functional
2801,functional
5046,functional
14329,functional
13045,functional
9019,non functional
10079,functional
5141,functional
14371,non functional
2119,functional
12952,functional
1705,functional
14737,functional
5367,non functional
3918,functional
5445,functional
4277,functional
12841,functional
1926,functional
5955,functional
4579,non functional
10780,functional
4808,functional
3981,functional
14387,non functional
14252,non functional
12047,non functional
10639,functional
5633,non functional
11160,functional
14046,functional
4883,functional
2995,non functional
879,functional
13159,functional
1573,non functional
501,non functional
7271,functional
5733,functional
13562,non functional
1176,non functional
9077,functional
5838,non functional
1554,functional
6064,non functional
9723,functional
12729,functional
4229,functional
3037,non functional
4001,functional
8349,functional
8848,functional
12720,functional needs repair
3443,non functional
5364,functional
5504,functional
11707,non functional
8161,functional
4072,non functional
4296,non functional
10152,functional
6370,functional
9709,functional
13236,functional
1595,functional
11187,non functional
10568,functional
996,functional
14008,non functional
4180,non functional
5539,functional
12758,non functional
7257,non functional
14215,functional
6457,functional
4737,functional
912,functional
11422,functional
10187,functional
7808,functional
12979,functional
243,non functional
5916,functional needs repair
12017,non functional
6803,non functional
2572,functional
9086,functional
1275,functional
1195,functional
14838,functional
3706,functional
1977,non functional
2107,functional
5379,non functional
1913,functional
2351,functional
14627,functional
3273,non functional
7285,functional
2166,functional needs repair
14701,non functional
5973,functional
7454,functional
11152,functional
3625,non functional
7715,functional
5195,functional
5877,functional
14479,functional
10701,non functional
1174,functional
5255,non functional
11413,functional
3317,non functional
1078,non functional
3302,functional
4609,functional
13466,functional
14304,non functional
3327,functional
136,functional
1243,functional
3172,non functional
2156,non functional
6836,functional
4203,functional
6604,non functional
5846,functional
5617,non functional
9581,non functional
4879,non functional
8072,non functional
13133,non functional
7269,non functional
12192,non functional
5985,functional
3530,non functional
1021,functional
4927,functional needs repair
4821,non functional
10621,non functional
8693,functional
10707,functional
3734,non functional
5708,functional
10560,functional
7495,functional
11056,non functional
3675,functional
4454,functional
6136,non functional
8941,functional
8601,functional
612,functional
2615,functional
5787,functional
12878,functional
8987,functional
12707,functional
13097,non functional
9585,non functional
14064,functional
6751,non functional
11143,functional
5543,non functional
970,non functional
11643,functional
7122,functional
5385,functional
2751,non functional
6158,non functional
432,functional
5482,non functional
10870,functional
10964,functional
8051,non functional
3907,functional
6149,non functional
3954,functional
899,functional
10407,functional
7105,functional
5682,functional
3187,functional
1256,non functional
10774,non functional
7933,non functional
11552,non functional
7526,non functional
546,functional
14402,non functional
12521,functional
11062,non functional
4533,functional
10671,functional
3208,non functional
13521,functional
10100,functional
5572,functional
10036,non functional
11886,functional
3348,functional
6374,non functional
2067,functional
5876,functional
14828,non functional
9423,functional needs repair
14759,non functional
3098,functional
7243,functional
1465,functional
13253,non functional
12945,non functional
3472,non functional
905,functional
7530,functional
14529,functional
3511,functional
8428,non functional
5794,functional
13168,functional
1318,functional
5015,functional needs repair
10559,functional needs repair
2238,functional
14494,functional
12512,functional
14469,functional
6304,functional
9452,functional
12372,non functional
6392,non functional
7600,functional
9418,non functional
12090,functional
1673,functional
5851,non functional
1619,functional
14351,functional
5547,functional needs repair
8445,functional
6077,non functional
5829,functional
12723,functional
13796,non functional
10683,functional
4005,functional
3177,non functional
772,non functional
1218,functional
140,functional
12341,non functional
9230,functional
5048,non functional
944,functional
14417,non functional
2768,non functional
9296,functional
715,functional
4910,functional
8691,functional
4396,functional
22,non functional
12344,non functional
14690,functional
8043,functional
6971,non functional
2523,functional
12407,functional
9758,functional
131,functional
13649,functional
8238,non functional
4475,non functional
7506,functional
13577,functional
5216,functional
713,functional
14256,non functional
3313,non functional
10178,non functional
12309,functional
11135,functional
10545,functional
9022,non functional
5206,non functional
4902,functional
10785,functional
3363,non functional
4942,functional
8316,functional
3922,functional
44,functional
424,functional
2587,functional
47,functional
322,functional
14645,functional
2252,non functional
839,functional
12445,functional
6965,functional
1972,functional
10782,functional
71,functional needs repair
4022,functional
1794,functional
14572,non functional
4759,functional
11741,non functional
14581,functional
13198,functional
3592,non functional
2672,functional
633,functional
5154,functional
14102,non functional
2925,functional
580,functional
6278,functional
11486,non functional
10088,non functional
3158,non functional
8675,functional
13872,functional
4460,functional
11176,non functional
3980,non functional
4559,non functional
8723,non functional
14442,functional
6396,non functional
1803,non functional
965,functional
844,functional
9269,functional
10858,functional
13372,non functional
9209,functional
3539,non functional
9875,functional
12201,functional
12424,non functional
10623,functional
10804,non functional
2216,functional
1354,functional
11114,non functional
2477,non functional
8388,non functional
1202,functional
3570,functional
5248,functional
9869,non functional
9040,functional
14384,non functional
9135,non functional
14144,functional
9074,functional
6637,non functional
14372,non functional
11427,non functional
6766,functional
9841,functional
6187,non functional
7123,functional
1349,functional
11172,functional
2918,functional
13027,functional
9874,functional
10092,functional
8299,functional
10666,functional
1509,non functional
941,functional
202,functional
11465,functional
6826,functional
5706,functional
3578,non functional
3904,functional
1347,non functional
543,non functional
13173,non functional
7805,functional
13938,functional
486,functional
14133,functional
10022,functional
680,non functional
10394,functional
7068,functional
7478,non functional
1226,non functional
12158,non functional
1375,functional
10553,functional
228,non functional
782,non functional
13469,functional
1476,non functional
12628,functional
1079,non functional
14670,functional
11178,functional
13191,non functional
13531,functional
5074,functional
12189,non functional
1956,functional
9333,non functional
6650,non functional
7234,functional
4844,functional
13268,functional
8610,functional
12889,non functional
13285,functional
7325,non functional
13749,non functional
1864,functional
744,non functional
7330,non functional
655,functional
6175,non functional
13381,functional
8830,functional
12619,functional
12031,non functional
7709,functional
10039,non functional
283,functional
3159,functional
6750,functional
4828,non functional
8370,functional
8396,non functional
13012,non functional
366,functional
5223,non functional
10432,functional
8761,functional
12250,functional
5276,non functional
5293,non functional
8339,functional
6623,non functional
8749,functional
14578,functional
1188,functional
2112,functional
8841,functional
11617,non functional
12039,functional
3293,functional
5217,functional
7099,non functional
7339,functional
4215,functional
12155,non functional
7991,non functional
3648,functional
11419,functional
1499,functional
4574,non functional
9032,functional
7348,functional
6827,functional
6665,functional
11403,non functional
11415,functional
10072,non functional
1359,functional
11013,non functional
14579,non functional
4880,non functional
9731,functional needs repair
296,functional
3092,non functional
3403,functional
2031,functional
11368,functional
5683,non functional
10894,functional
14045,functional
12442,functional
13425,functional
8200,functional
2376,functional
14570,functional
2063,functional
3117,non functional
1061,non functional
14129,functional
7919,functional
1151,functional
8484,functional
13859,functional
6344,functional
7953,non functional
5047,functional
1220,functional
9406,non functional
1442,functional
93,non functional
2090,functional
1253,functional
8677,non functional
7828,functional
9520,non functional
10133,functional
1572,functional
7116,non functional
10424,functional
12277,functional
1395,non functional
3982,functional
13537,non functional
3924,non functional
10678,non functional
11519,non functional
12165,functional
8779,functional
9092,functional
12075,functional
7334,functional
14562,functional
11685,non functional
9464,non functional
5815,functional
8078,non functional
12297,non functional
12015,functional needs repair
10168,functional
2160,functional
8923,non functional
2232,functional
4719,non functional
7729,functional
10060,functional
4283,functional
10910,functional
9736,non functional
12980,functional
8877,functional
9720,functional
14681,functional
3955,non functional
14713,non functional
9817,functional
14592,functional
13808,non functional
7927,functional
10042,functional
1166,functional
7362,functional
9438,functional
14199,functional
4148,functional
7021,functional
5627,functional
5029,functional
11515,functional
41,functional
13704,functional
794,non functional
10664,non functional
2180,functional
2215,functional
12089,functional
12745,functional
10777,functional
4853,non functional
7513,functional
13240,functional
6226,non functional
7169,functional
7992,functional
14169,non functional
5308,functional
12354,functional
3809,non functional
14622,functional
6844,non functional
48,functional
9533,functional
9719,functional
1128,non functional
4560,functional
11968,functional
6852,functional
7937,non functional
11209,functional
3518,functional
13164,functional
13393,functional
8776,non functional
1426,functional
2651,non functional
14202,functional
4135,non functional
2022,non functional
821,functional
12294,non functional
9436,functional
10938,functional
1886,non functional
1695,non functional
4566,non functional
10915,functional
1743,functional
7770,functional
13887,functional
7511,functional
2329,functional
13838,functional
9303,non functional
10389,functional
9889,functional
3635,functional
13752,non functional
11233,functional
5236,functional
4833,non functional
2765,functional
13269,non functional
9753,functional
9847,non functional
1477,functional
10074,functional
3773,functional
206,non functional
6767,functional
10903,non functional
7507,functional
4791,functional
982,non functional
2161,non functional
1534,functional
12983,functional
5280,functional
9321,functional
10154,functional
3029,non functional
10093,non functional
11633,functional
7148,functional
885,non functional
5220,functional
2392,functional
5688,functional
1524,functional
352,functional
3368,non functional
13957,functional
8330,functional
2886,non functional
9170,functional needs repair
9855,functional
11318,functional
3883,non functional
8875,functional
13594,functional
5407,functional
11721,functional
13120,functional
10524,non functional
9948,functional
11667,non functional
5937,functional
2562,functional
404,functional
14183,functional
2881,functional
11081,functional
10334,non functional
9788,functional
13158,non functional
4479,functional
7537,functional
1629,functional
3108,functional
3326,functional
12778,functional
5694,functional needs repair
14047,non functional
9678,functional
10430,non functional
12930,functional
14806,functional
13313,functional
11463,non functional
7712,non functional
7439,non functional
7342,non functional
5138,functional
1236,functional
357,functional
10798,functional
10508,non functional
6761,non functional
12137,functional
4290,functional
7905,functional
707,functional
4891,functional
11611,non functional
13220,functional
8184,functional
5447,functional
8064,functional
2583,functional
6273,functional
5107,functional
6541,functional
13332,functional
4843,functional
13610,functional
5580,functional
12924,functional
12313,functional
1604,non functional
10606,functional
5951,functional
